Iteration,Scaler,Transformer,Metric,Seed,SI,DBI,Score
0,Standard,Spectral,correlation,21306,0.39329232707398226,0.2066424503909221,0.2899711018785212
1,MinMax,Spectral,euclidean,87100,0.3609147905250722,0.2424482217176347,0.23969067966625485
3,MaxAbs,MDS,correlation,74274,0.5082897379469483,0.3992140687445915,0.30868270357465255
4,MinMax,MDS,euclidean,28669,0.260403048625839,0.5408069620121333,-0.01000043238022763
5,Robust,Spectral,manhattan,68857,0.5761774532889002,0.08036108194572926,0.5359969123160356
6,MaxAbs,Spectral,correlation,68464,0.29180517840532283,0.6364218081754546,-0.026405725682404457
7,MaxAbs,Isomap,correlation,15854,0.5483334729552607,0.30441226084543954,0.3961273425325409
8,MinMax,Isomap,manhattan,88901,0.2327172032988656,0.5742980138807536,-0.054431803641511206
11,MaxAbs,MDS,correlation,28099,0.5092705180224826,0.4010893442600277,0.30872584589246876
12,Robust,Isomap,manhattan,67790,0.248825008454151,0.6789686671279321,-0.09065932510981506
15,Robust,MDS,cosine,66935,0.3667548723746153,0.4625743976995875,0.13546767352482153
16,Robust,Isomap,cosine,21353,0.4312876549886548,0.4091170210479642,0.22672914446467268
20,MaxAbs,Spectral,cosine,82109,0.42195449280097647,0.4138091493442643,0.2150499181288443
22,Standard,MDS,manhattan,42309,0.24928301220537338,0.5443909705037441,-0.022912473046498655
23,MinMax,MDS,correlation,63488,0.4406379275705976,0.30788157179529935,0.2866971416729479
24,MinMax,Isomap,euclidean,73954,0.39022426519241676,0.4253586711482988,0.17754492961826737
25,Standard,Spectral,correlation,33666,0.5581746722336011,0.4114942028839379,0.3524275707916321
26,MinMax,MDS,euclidean,73833,0.30502786877519544,0.49907814103732423,0.05548879825653333
27,Standard,Spectral,correlation,24685,0.4369110002751741,0.18743155245960783,0.3431952240453702
30,MinMax,Isomap,manhattan,99571,0.2327172032988656,0.5742980138807536,-0.054431803641511206
31,Standard,Spectral,cosine,79235,0.390937537417456,0.43490651280004,0.17348428101743602
32,Robust,MDS,correlation,83714,0.59246878129258,0.23077117857701943,0.47708319200407023
35,MinMax,MDS,correlation,48557,0.42309199488004534,0.3152468480481123,0.2654685708559892
36,Robust,MDS,cosine,19349,0.376192226049846,0.4505311102158424,0.15092667094192477
37,Robust,MDS,euclidean,78440,0.18945274222607836,0.7528595786079091,-0.18697704707787619
38,MinMax,MDS,manhattan,35686,0.2563893419378542,0.5355942136483954,-0.011407764886343541
39,MinMax,Isomap,correlation,60354,0.39426945229546323,0.3276773018451847,0.2304308013728709
40,MinMax,Spectral,cosine,6477,0.5614465150385798,0.2816823775702146,0.42060532625347247
41,MinMax,Spectral,manhattan,86008,0.43165120947456015,0.4770916831826623,0.193105367883229
